year,tic,at,revt,xlr,xpr,sic
2019,MARA,6.62,1.185,1.475,0,7372
2020,MARA,313.251,4.357,4.73,0,7372
2021,MARA,1448.244,150.464,164.286,0,7372
2017,EBF,329.439,370.171,0,3.003,2761
2018,EBF,363.085,400.782,0,3.224,2761
2019,EBF,365.699,438.412,0,3.474,2761
2020,EBF,364.388,357.973,0,5.804,2761
2021,EBF,368.844,400.014,0,4.638,2761
2017,ENZN,9.512,8.379,0,0,2836
2018,ENZN,15.51,6.918,0,0,2836
2019,ENZN,6.478,.207,0,0,2836
2020,ENZN,48.232,.052,0,0,2836
2021,ENZN,47.754,.701,0,0,2836
2017,VKSC,482.136,391.978,0,6.362,3089
2018,VKSC,508.243,395.329,0,11.113,3089
2019,VKSC,512.8869999999999,384.872,0,1.432,3089
2020,VKSC,503.123,408.887,0,1.277,3089
2021,VKSC,471.101,415.672,0,1.591,3089
2017,ETCC,46.423,48.086,0,.458,3728
2018,ETCC,45.412,48.424,0,.458,3728
2019,ETCC,48.817,40.58,0,.487,3728
2020,ETCC,38.108,16.25,0,.228,3728
2021,ETCC,34.553,19.132,0,.337,3728
2017,ENZ,107.665,107.804,0,.948,8071
2018,ENZ,101.66,104.713,0,.986,8071
2019,ENZ,106.64,81.17,0,1.038,8071
2020,ENZ,112.538,74.52500000000001,0,1.004,8071
2021,ENZ,113.691,117.731,0,.923,8071
2017,EFX,7233.4,3362.2,0,49.7,7323
2018,EFX,7153.2,3412.1,0,87.90000000000001,7323
2019,EFX,7909,3527.6,0,51.6,7323
2020,EFX,9611.799999999999,4127.5,0,61.4,7323
2021,EFX,11040.9,4923.9,0,63.9,7323
2017,EQT,29522.604,3378.015,0,16.6,4923
2018,EQT,20721.344,4557.868,0,17.3,4923
2019,EQT,18809.227,4416.484,0,8.9,4923
2020,EQT,18113.469,3058.843,0,6.5,4923
2021,EQT,21607.388,3064.663,0,7,4923
2017,ERIC,31877.845,24629.643,9360.103999999999,684.187,3663
2018,ERIC,30241.99,23724.278,7557.206,549.341,3663
2019,ERIC,29585.1,24322.075,7778.127,553.417,3663
2020,ERIC,31963.749,27356.298,8787,584.23,3663
2021,ERIC,33799.857,25693.129,8567.031000000001,644.004,3663
2017,ESCA,156.105,177.333,0,.695,3949
2018,ESCA,149.527,175.78,0,.715,3949
2019,ESCA,148.779,180.541,0,.8159999999999999,3949
2020,ESCA,220.705,273.649,0,.841,3949
2021,ESCA,251.798,313.612,0,1.041,3949
2017,ESP,35.494,22.521,0,.138,3679
2018,ESP,36.716,32.518,0,.151,3679
2019,ESP,35.688,36.478,0,.187,3679
2020,ESP,38.209,31.526,0,.179,3679
2021,ESP,37.981,27.735,0,.162,3679
2017,ESL,3120.013,2000.304,0,23.049,3812
2018,ESL,3036.917,2040.132,0,18.803,3812
2017,NEU,1712.154,2198.404,0,15.725,2860
2018,NEU,1697.274,2289.675,0,12.311,2860
2019,NEU,1885.132,2190.295,0,5.487,2860
2020,NEU,1933.875,2010.931,0,9.092000000000001,2860
2021,NEU,2558.436,2356.11,0,13.291,2860
2017,ESCC,25.03,30.508,0,.6820000000000001,3679
2018,ESCC,27.161,37.193,0,.661,3679
2019,ESCC,26.678,27.716,0,.708,3679
2017,KINS,254.548,92.92100000000001,0,.887,6331
2017,KINS,254.548,92.76900000000001,0,.887,6331
2018,KINS,266.752,113.943,0,.247,6331
2018,KINS,266.752,113.772,0,.247,6331
2019,KINS,321.203,145.905,0,.305,6331
2019,KINS,321.203,145.563,0,.305,6331
2020,KINS,317.582,131.37,0,.309,6331
2020,KINS,317.582,131.65,0,.309,6331
2021,KINS,331.312,161.231,0,.249,6331
2021,KINS,331.312,161.597,0,.249,6331
2017,EXPD,3117.008,6920.948,1267.12,18.21,4731
2018,EXPD,3314.559,8138.365,1393.259,19.6,4731
2019,EXPD,3691.884,8175.426,1422.315,19.624,4731
2020,EXPD,4927.503,10116.481,1538.104,20.713,4731
2021,EXPD,7609.929,16523.517,2062.351,22.587,4731
2017,BOOM,173.083,192.803,0,.511,3533
2018,BOOM,240.418,326.429,0,.828,3533
2019,BOOM,277.421,397.55,0,1.156,3533
2020,BOOM,279.645,229.161,0,1.636,3533
2021,BOOM,864.412,260.115,0,.835,3533
2017,IIIN,283.073,388.871,0,1.956,3310
2018,IIIN,329.534,453.217,0,1.905,3310
2019,IIIN,293.009,455.713,0,2.021,3310
2020,IIIN,337.902,472.618,0,2.266,3310
2021,IIIN,390.71,590.601,0,2.343,3310
2017,XOM,348691,237162,0,3153,2911
2018,XOM,346196,279332,0,2749,2911
2019,XOM,362597,255583,0,2652,2911
2020,XOM,332750,178574,0,2923,2911
2021,XOM,338923,276692,0,2420,2911
2017,FMC,9206.299999999999,2878.6,0,35.9,2870
2018,FMC,9974.299999999999,4727.8,0,25.4,2870
2019,FMC,9872.700000000001,4609.8,0,28.2,2870
2020,FMC,10186.4,4642.1,0,42.9,2870
2021,FMC,10581.3,5045.2,0,41,2870
2017,NEE,97827,17195,0,-32,4911
2018,NEE,103702,16727,0,-36,4911
2019,NEE,117691,19204,0,-42,4911
2020,NEE,127684,17997,0,-47,4911
2021,NEE,140912,17069,0,-96,4911
2017,FARM,392.736,541.5,0,10.366,2090
2018,FARM,475.531,606.544,0,10.019,2090
2019,FARM,424.61,595.942,0,23.497,2090
2020,FARM,392.699,501.32,0,9.028,2090
2021,FARM,338.006,397.85,0,5.278,2090
2017,FDX,52330,65450,23207,676,4513
2018,FDX,54403,69693,24776,4289,4513
2019,FDX,73537,69217,25031,1430,4513
2020,FDX,82777,83959,30173,-528,4513
2021,FDX,85994,93512,32058,2592,4513
2017,RUSMF,1759.1,3296,274.9,9.199999999999999,5051
2018,RUSMF,2127.3,4165,335.1,9.4,5051
2019,RUSMF,1924.9,3675.9,295.9,9.5,5051
2020,RUSMF,1596.3,2688.3,231.3,9.699999999999999,5051
2021,RUSMF,2314.5,4208.5,376,10,5051
2017,FNMA,3345529,112630,1328,0,6111
2017,FNMA,3345529,111419,1328,0,6111
2018,FNMA,3418318,118980,1451,0,6111
2018,FNMA,3418318,120101,1451,0,6111
2019,FNMA,3503319,120304,1486,0,6111
2019,FNMA,3503319,122518,1486,0,6111
2020,FNMA,3985749,108938,1554,0,6111
2020,FNMA,3985749,106437,1554,0,6111
2021,FNMA,4229166,101388,1493,0,6111
2021,FNMA,4229166,101543,1493,0,6111
2017,FRT,6275.755,960.8869999999999,0,.632,6798
2017,FRT,6275.755,857.4059999999999,0,.632,6798
2018,FRT,6289.644,912.98,0,.6879999999999999,6798
2018,FRT,6289.644,943.742,0,.6879999999999999,6798
2019,FRT,6794.992,935.042,0,.764,6798
2019,FRT,6794.992,1071.922,0,.764,6798
2020,FRT,7607.624,963.572,0,.8129999999999999,6798
2020,FRT,7607.624,842.026,0,.8129999999999999,6798
2021,FRT,7622.32,1064.454,0,.8159999999999999,6798
2021,FRT,7622.32,953.978,0,.8159999999999999,6798
2017,FSCR,63.282,77.34099999999999,0,.318,3452
2018,FSCR,66.527,75.408,0,.108,3452
2019,FSCR,70.989,73.35299999999999,0,-.005,3452
2020,FSCR,65.026,60.01,0,-.05,3452
2021,FSCR,76.735,69.595,0,0,3452
2017,FSS,992.3,898.5,0,13.8,3711
2018,FSS,1023.8,1089.5,0,8,3711
2019,FSS,1165.5,1221.3,0,9.199999999999999,3711
2020,FSS,1208.8,1130.8,0,7.4,3711
2021,FSS,1366.1,1213.2,0,18.3,3711
2017,M,19381,24837,0,43,5311
2018,M,19194,25739,0,64,5311
2019,M,21172,25331,0,74,5311
2020,M,17706,18097,0,22,5311
2021,M,17590,25292,0,16,5311
2017,FOE,1682.202,1396.742,0,-.6870000000000001,2851
2018,FOE,1812.46,1612.408,0,22.756,2851
2019,FOE,1834.621,1018.366,0,18.351,2851
2020,FOE,1960.933,958.954,0,14.783,2851
2021,FOE,1290.024,1126.264,0,-26.354,2851
2017,LSTA,63.376,0,0,0,2836
2018,LSTA,44.58,0,0,0,2836
2019,LSTA,27.153,0,0,0,2836
2020,LSTA,36.002,0,0,0,2836
2021,LSTA,97.008,0,0,0,2836
2017,FITB,142193,6676,1989,88,6020
2017,FITB,142193,6676,1989,88,6020
2018,FITB,146069,7392,2115,88,6020
2018,FITB,146069,7392,2115,88,6020
2019,FITB,169369,8900,2328,102,6020
2019,FITB,169369,8900,2328,102,6020
2020,FITB,204680,8391,2586,116,6020
2020,FITB,204680,8391,2586,116,6020
2021,FITB,211116,8269,2616,117,6020
2021,FITB,211116,8269,2616,117,6020
2017,FINGF,5092,6265,1180,52,5082
2018,FINGF,5696,6996,1100,64,5082
2019,FINGF,5990,7817,1000,61,5082
2020,FINGF,5458,6196,900,52,5082
2021,FINGF,5971,7294,1000,54,5082
2017,RF,124294,6093,1942,68,6020
2017,RF,124294,6093,1942,68,6020
2018,RF,125688,6412,1947,44,6020
2018,RF,125688,6412,1947,44,6020
2019,RF,126240,6755,1916,75,6020
2019,RF,126240,6755,1916,75,6020
2020,RF,147389,6630,2100,68,6020
2020,RF,147389,6630,2100,68,6020
2021,RF,162938,6587,2205,78,6020
2021,RF,162938,6587,2205,78,6020
2017,TRMK,13797.953,629.564,234.987,31.333,6020
2017,TRMK,13797.953,629.564,234.987,31.333,6020
2018,TRMK,13286.46,670.448,238.033,12.129,6020
2018,TRMK,13286.46,670.448,238.033,12.129,6020
2019,TRMK,13497.877,697.537,247.717,12.285,6020
2019,TRMK,13497.877,697.537,247.717,12.285,6020
2020,TRMK,16551.84,742.928,267.984,12.746,6020
2020,TRMK,16551.84,742.928,267.984,12.746,6020
2021,TRMK,17595.636,664.421,278.547,13.475,6020
2021,TRMK,17595.636,664.421,278.547,13.475,6020
2017,FCNCA,34527.512,1610.019,588.4450000000001,32.555,6020
2017,FCNCA,34527.512,1610.019,588.4450000000001,32.555,6020
2018,FCNCA,35408.629,1619.353,645.894,33.172,6020
2018,FCNCA,35408.629,1619.353,645.894,33.172,6020
2019,FCNCA,39824.496,1819.872,671.6130000000001,29.218,6020
2019,FCNCA,39824.496,1819.872,671.6130000000001,29.218,6020
2020,FCNCA,49957.68,1960.776,722.264,43.711,6020
2020,FCNCA,49957.68,1960.776,722.264,43.711,6020
2021,FCNCA,58308.14,1959.012,758.853,30.078,6020
2021,FCNCA,58308.14,1959.012,758.853,30.078,6020
2017,FCIC,.191,0,0,0,9995
2018,FCIC,.123,0,0,0,9995
2019,FCIC,.067,0,0,0,9995
2020,FCIC,.07,0,0,0,9995
2021,FCIC,.025,0,0,0,9995
2017,MTB,118593.487,6018.938,1650.729,70.432,6020
2017,MTB,118593.487,6018.938,1650.729,70.432,6020
2018,MTB,120097.403,6454.711,1752.264,74.045,6020
2018,MTB,120097.403,6454.711,1752.264,74.045,6020
2019,MTB,119872.757,6941.272,1900.797,57.283,6020
2019,MTB,119872.757,6941.272,1900.797,57.283,6020
2020,MTB,142601.105,6281.156,1950.692,96.506,6020
2020,MTB,142601.105,6281.156,1950.692,96.506,6020
2021,MTB,155107.16,6105.778,2045.501,102.508,6020
2021,MTB,155107.16,6105.778,2045.501,102.508,6020
2017,FHRT,248.041,83.01900000000001,0,.18,6510
2017,USB,462040,23996,6932,404,6020
2017,USB,462040,23996,6932,404,6020
2018,USB,467374,25775,7393,370,6020
2018,USB,467374,25775,7393,370,6020
2019,USB,495426,27325,7611,335,6020
2019,USB,495426,27325,7611,335,6020
2020,USB,553905,25241,7938,393,6020
2020,USB,553905,25241,7938,393,6020
2021,USB,573284,23714,8728,414,6020
2021,USB,573284,23714,8728,414,6020
2017,FHN,41423.388,1494.478,572.3339999999999,26.018,6020
2017,FHN,41423.388,1494.478,572.3339999999999,26.018,6020
2018,FHN,40832.258,2268.824,658.223,36.423,6020
2018,FHN,40832.258,2268.824,658.223,36.423,6020
2019,FHN,43310.9,2278.362,695.351,30.917,6020
2019,FHN,43310.9,2278.362,695.351,30.917,6020
2020,FHN,84209,2857,1033,48,6020
2020,FHN,84209,2857,1033,48,6020
2021,FHN,89092,3255,1154,58,6020
2021,FHN,89092,3255,1154,58,6020
2017,BDL,60.509,106.822,32.795,.047,5812
2018,BDL,67.265,113.497,34.868,.057,5812
2019,BDL,68.755,116.202,35.873,.074,5812
2020,BDL,112.484,112.977,35.399,.081,5812
2021,BDL,128.002,137.307,43.465,.059,5812
2017,MALJF,983.932,968.954,36.575,9.298,3728
2018,MALJF,1072.88,966.753,35.736,9.311999999999999,3728
2019,MALJF,1141.165,1016.219,36.299,10.051,3728
2020,MALJF,1072.602,744.414,30.637,10.449,3728
2021,MALJF,1003.818,688.3579999999999,25.262,9.321,3728
2017,FLXS,270.045,468.764,0,2.98,2510
2018,FLXS,284.293,489.18,0,3.501,2510
2019,FLXS,254.287,443.588,0,3.273,2510
2020,FLXS,237.259,366.926,0,2.739,2510
2021,FLXS,296.779,478.925,0,1.15,2510
2017,FPL1,50244,11972,0,-18,4911
2018,FPL1,53484,11862,0,-23,4911
2019,FPL1,57188,12192,0,-35,4911
2020,FPL1,61610,11662,0,-40,4911
2021,FPL1,78067,14102,0,-120,4911
2017,DUK9,18069,4646,0,35,4911
2018,DUK9,18801,5021,0,25,4911
2019,DUK9,20454,5231,0,28,4911
2020,DUK9,20957,5188,0,8,4911
2021,DUK9,22733,5259,0,-1,4911
2017,FLO,2659.724,3920.733,0,29.775,2050
2018,FLO,2845.537,3951.852,0,35.121,2050
2019,FLO,3177.776,4123.974,0,31.407,2050
2020,FLO,3323.023,4387.991,0,138.843,2050
2021,FLO,3253.313,4330.767,0,30.145,2050
2017,FLR,9327.691999999999,19520.97,0,291.279,1600
2018,FLR,8913.637000000001,19166.599,0,211.088,1600
2019,FLR,7966.658,14348.018,0,297.037,1600
2020,FLR,7309.812,15668.477,0,174.221,1600
2021,FLR,7279.563,12434.879,0,371.412,1600
2017,FONR,98.76300000000001,78.03700000000001,0,0,8071
2018,FONR,118.311,81.51600000000001,0,0,8071
2019,FONR,133.56,87.193,0,0,8071
2020,FONR,180.259,85.69,0,0,8071
2021,FONR,189.506,89.93000000000001,0,.037,8071
2017,F,257808,156776,0,-652,3711
2018,F,256540,160338,0,1018,3711
2019,F,258537,155900,0,2334,3711
2020,F,267261,127144,0,671,3711
2021,F,257035,136341,0,-4221,3711
2017,F1,160443,11583,0,63,6159
2018,F1,162209,12450,0,62,6159
2019,F1,161426,12767,0,55,6159
2020,F1,159017,11926,0,67,6159
2021,F1,134945,9874,0,69,6159
2017,FCE.A,8063.287,990.74,0,0,6798
2017,FCE.A,8063.287,1160.044,0,0,6798
2017,FSTR,396.556,536.377,0,3.585,5051
2018,FSTR,383.249,626.9690000000001,0,3.455,5051
2019,FSTR,405.171,655.057,0,5.43,5051
2020,FSTR,370.395,497.411,0,1.776,5051
2021,FSTR,342.595,513.62,0,2.209,5051
2017,FELE,1185.353,1124.909,0,6.8,3621
2018,FELE,1182.365,1298.129,0,7.2,3621
2019,FELE,1194.743,1314.578,0,8.4,3621
2020,FELE,1272.307,1247.331,0,9.199999999999999,3621
2021,FELE,1575.165,1661.865,0,11.1,3621
2017,BEN,17534,6392.2,1333.7,45.5,6282
2017,BEN,17534,6744.5,1333.7,45.5,6282
2018,BEN,14383.5,6463.8,1390.6,49.8,6282
2018,BEN,14383.5,6319.1,1390.6,49.8,6282
2019,BEN,14532.2,5876.5,1584.7,52.2,6282
2019,BEN,14532.2,5774.5,1584.7,52.2,6282
2020,BEN,20220.9,5620.6,1873.9,59.2,6282
2020,BEN,20220.9,5566.5,1873.9,59.2,6282
2021,BEN,24168.4,8400.200000000001,2971.3,81.40000000000001,6282
2021,BEN,24168.4,9121.1,2971.3,81.40000000000001,6282
2017,FEIM,83.584,39.407,0,.433,3825
2018,FEIM,86.771,49.509,0,.412,3825
2019,FEIM,91.276,41.507,0,.417,3825
2020,FEIM,86.01600000000001,54.254,0,.419,3825
2021,FEIM,85.88,48.296,0,.426,3825
2017,FRD,74.363,121.157,0,.2,3310
2018,FRD,86.602,187.154,0,.259,3310
2019,FRD,77.34399999999999,142.102,0,.25,3310
2020,FRD,95.009,126.103,0,.25,3310
2021,FRD,159.275,285.235,0,.297,3310
2017,FUJIY,32890.207,22913.042,0,150.753,3861
2018,FUJIY,30816.468,21943.386,0,154.25,3861
2019,FUJIY,30870.045,21515.693,0,105.1,3861
2020,FUJIY,32089.835,19823.485,0,236.505,3861
2021,FUJIY,32571.177,20799.387,0,0,3861
2017,FUL,4360.646,2309.043,0,7.807,2891
2018,FUL,4175.271,3041.002,0,1.746,2891
2019,FUL,3985.734,2897,0,4.816,2891
2020,FUL,4036.704,2790.269,0,2.706,2891
2021,FUL,4274.53,3278.031,0,-8.146000000000001,2891
2017,GATX,7422.4,1376.9,0,12.2,4700
2018,GATX,7616.7,1360.9,0,17.3,4700
2019,GATX,8285.1,1393.8,0,12.8,4700
2020,GATX,8937.6,1209.2,0,15,4700
2021,GATX,9541.700000000001,1257.4,0,15.9,4700
2017,AJG,12897.4,6159.6,2752.3,92.7,6411
2018,AJG,16334,6923.8,3026.3,94.3,6411
2019,AJG,19634.8,7195,3339.5,109.9,6411
2020,AJG,22331.4,7003.6,3466.5,114.3,6411
2021,AJG,33345,8209.4,3927.5,121.3,6411
2017,TGNA,4962.115,1903.026,0,21.953,4833
2018,TGNA,5276.842,2207.282,0,16.504,4833
2019,TGNA,6953.976,2299.497,0,18.253,4833
2020,TGNA,6848.699,2937.78,0,11.233,4833
2021,TGNA,6917.646,2991.093,0,7.198,4833
2017,GPS,7989,15855,0,45,5651
2018,GPS,8049,16580,0,45,5651
2019,GPS,13679,16383,0,46,5651
2020,GPS,13769,13800,0,42,5651
2021,GPS,12761,16670,0,46,5651
2017,AJRD,2258.7,1877.2,0,97.2,3760
2018,AJRD,2490.1,1895.9,0,82.59999999999999,3760
2019,AJRD,2707.8,1981.5,0,50.3,3760
2020,AJRD,2899.9,2072.7,0,61.3,3760
2021,AJRD,2433.6,2188,0,58.9,3760
2017,GAM,,,0,0,6726
2018,GAM,,,0,0,6726
2019,GAM,,,0,0,6726
2020,GAM,,,0,0,6726
2021,GAM,,,0,0,6726
2017,GD,35046,30973,0,512,3721
2018,GD,45408,36193,0,471,3721
2019,GD,48841,39350,0,440,3721
2020,GD,51308,37925,0,428,3721
2021,GD,50073,38469,0,316,3721
2017,GE,377945,120468,0,4496,9997
2018,GE,309129,121615,0,4559,9997
2019,GE,266048,95214,0,4263,9997
2020,GE,253452,79619,0,3907,9997
2021,GE,198874,74196,0,2966,9997
2017,JOB,141.815,134.978,0,0,7361
2018,JOB,133.601,165.284,0,0,7361
2019,JOB,124.481,151.674,0,0,7361
2020,JOB,120.013,129.835,0,0,7361
2021,JOB,117.589,148.88,0,0,7361
2017,GIS,30624,15740.4,0,68.7,2040
2018,GIS,30111.2,16865.2,0,61.1,2040
2019,GIS,30806.7,17626.6,0,71,2040
2020,GIS,31841.9,18127,0,76.2,2040
2021,GIS,31090.1,18992.8,0,80,2040
2017,ALLY,167148,9859,1095,0,6172
2017,ALLY,167148,9873,1095,0,6172
2018,ALLY,178869,10466,1155,0,6172
2018,ALLY,178869,10420,1155,0,6172
2019,ALLY,180644,11618,1222,0,6172
2019,ALLY,180644,11556,1222,0,6172
2020,ALLY,182165,10721,1376,0,6172
2020,ALLY,182165,10882,1376,0,6172
2021,ALLY,182114,10826,1643,0,6172
2021,ALLY,182114,10694,1643,0,6172
2017,GM,212482,145588,0,-523,3711
2018,GM,227339,147049,0,-913,3711
2019,GM,228037,137237,0,-191,3711
2020,GM,235194,122485,0,-450,3711
2021,GM,244718,127004,0,-1231,3711
2017,SPXC,2040.4,1425.8,0,17.9,3585
2018,SPXC,2057.5,1538.6,0,17.6,3585
2019,SPXC,2134.5,1525.4,0,19.5,3585
2020,SPXC,2297.7,1559.5,0,15.7,3585
2021,SPXC,2628.6,1219.5,0,-.8,3585
2017,GCO,1315.353,2907.016,0,6.256,5661
2018,GCO,1181.081,2188.553,0,5.65,5661
2019,GCO,1680.478,2197.066,0,6.249,5661
2020,GCO,1587.368,1786.53,0,2.9,5661
2021,GCO,1562.099,2422.084,0,5.9,5661
2017,GNTX,2352.054,1794.873,0,7.7,3714
2018,GNTX,2085.434,1834.064,0,8.199999999999999,3714
2019,GNTX,2168.803,1858.897,0,8.699999999999999,3714
2020,GNTX,2197.941,1688.189,0,8.9,3714
2021,GNTX,2131.391,1731.17,0,9,3714
2017,GPC,12412.381,16308.801,0,48.148,5013
2018,GPC,12683.04,18735.073,0,50.668,5013
2019,GPC,14645.629,19392.305,0,53.218,5013
2020,GPC,13440.215,16537.433,0,41.402,5013
2021,GPC,14352.102,18870.51,0,45.417,5013
2017,SO2,36779,8310,0,15,4911
2018,SO2,40365,8420,0,27,4911
2019,SO2,44541,8408,0,10,4911
2020,SO2,47080,8309,0,-2,4911
2021,SO2,48461,9260,0,-30,4911
2017,GTY,1072.754,120.486,0,.282,6798
2017,GTY,1072.754,121.527,0,.282,6798
2018,GTY,1159.175,140.067,0,.295,6798
2018,GTY,1159.175,136.119,0,.295,6798
2019,GTY,1211.777,140.675,0,.327,6798
2019,GTY,1211.777,141.738,0,.327,6798
2020,GTY,1349.512,151.582,0,.353,6798
2020,GTY,1349.512,147.034,0,.353,6798
2021,GTY,1466.948,155.898,0,.379,6798
2021,GTY,1466.948,172.616,0,.379,6798
2017,GIGA,8.430999999999999,9.800000000000001,0,.027,3670
2018,GIGA,6.279,11.148,0,.018,3670
2019,GIGA,8.926,11.768,0,.022,3670
2020,GIGA,7.847,13.052,0,.017,3670
2021,GIGA,8.055,9.026999999999999,0,0,3670
2017,GLT,1730.795,1596.423,0,8.9,2621
2018,GLT,1339.754,866.2859999999999,0,2,2621
2019,GLT,1283.794,927.673,0,80.59999999999999,2621
2020,GLT,1286.881,916.498,0,3.9,2621
2021,GLT,1880.607,1084.694,0,4.212,2621
2017,GSK,76277.855,41320.271,12341.154,817.152,2834
2018,GSK,74005.117,39662.44,12031.28,684.407,2834
2019,GSK,105544.085,45168.662,13051.962,643.658,2834
2020,GSK,108002.747,46215.147,13762.357,679.456,2834
2021,GSK,107113.372,46761.136,12190.962,547.057,2834
2017,GDRZF,150.701,0,0,0,1040
2018,GDRZF,168.653,0,0,0,1040
2019,GDRZF,80.26900000000001,0,0,0,1040
2020,GDRZF,69.435,0,0,0,1040
2021,GDRZF,60.64,0,0,0,1040
2017,GV,93.63200000000001,113.954,0,.477,1623
2018,GV,112.548,138.149,0,.485,1623
2019,GV,129.367,180.646,0,.556,1623
2017,GT,17064,15377,0,120,3011
2018,GT,16872,15475,0,131,3011
2019,GT,17185,14745,0,143,3011
2020,GT,16506,12287,0,144,3011
2021,GT,21402,17522,0,120,3011
2017,GRC,395.015,379.389,0,8.268000000000001,3561
2018,GRC,368.282,414.334,0,7.108,3561
2019,GRC,382.76,398.179,0,5.123,3561
2020,GRC,394.457,348.967,0,9.789,3561
2021,GRC,420.754,378.316,0,7.289,3561
2017,6283B,699.463,48.146,0,0,6798
2018,6283B,885.857,70.91200000000001,0,0,6798
2019,6283B,869.1369999999999,77.812,0,0,6798
2020,6283B,866.2190000000001,70.28100000000001,0,0,6798
2017,GRA,2907,1716.5,0,73.8,2810
2018,GRA,3565.3,1932.1,0,13.5,2810
2019,GRA,3932.6,1958.1,0,121.8,2810
2020,GRA,3765.5,1729.8,0,126.8,2810
2017,GGG,1379.205,1474.744,0,34.657,3561
2018,GGG,1472.741,1653.292,0,20.964,3561
2019,GGG,1692.21,1646.045,0,22.867,3561
2020,GGG,1988.128,1650.115,0,23.265,3561
2021,GGG,2443.198,1987.608,0,32.144,3561
2017,GHM,143.333,77.58,0,1.261,3443
2018,GHM,156.27,91.831,0,1.252,3443
2019,GHM,148.12,90.604,0,1.589,3443
2020,GHM,144.28,97.489,0,1.596,3443
2021,GHM,183.691,122.814,0,1.883,3443
2017,GWW,5804.254,10424.858,0,138,5000
2018,GWW,5873,11221,0,177,5000
2019,GWW,6005,11486,0,132,5000
2020,GWW,6295,11797,0,115,5000
2021,GWW,6592,13022,0,94,5000
2017,GTN,3260.857,882.728,0,6.121,4833
2018,GTN,4213.445,1084.132,0,5.357,4833
2019,GTN,6972,2122,0,16,4833
2020,GTN,7643,2381,0,18,4833
2021,GTN,11108,2413,0,20,4833
2017,1737B,2261.357,6631.227,0,89.667,5063
2018,1737B,2491.2,7202.5,0,120,5063
2019,1737B,2517.7,7523.9,0,100.1,5063
2020,1737B,2551.2,7265.7,0,131.6,5063
2021,1737B,3069,8767.299999999999,0,162,5063
2017,JFTSF,297.377,5.084,0,0,6199
2018,JFTSF,277.955,5.81,0,0,6199
2019,JFTSF,242.156,5.165,0,0,6199
2020,JFTSF,293.353,5.014,0,0,6199
2021,JFTSF,299.115,3.191,0,0,6199
2017,GEF,3232.3,3638.2,0,50.7,2650
2018,GEF,3194.8,3873.8,0,30,2650
2019,GEF,5426.7,4595,0,35.1,2650
2020,GEF,5510.9,4515,0,39.4,2650
2021,GEF,5815.8,5556.1,0,42.4,2650
2017,MGI,4772.5,1602.1,277.7,13.8,6099
2017,MGI,4772.5,1602.1,277.7,13.8,6099
2018,MGI,4296.1,1447.6,259.8,12.6,6099
2018,MGI,4296.1,1447.6,259.8,12.6,6099
2019,MGI,4185,1285.1,228.4,42.8,6099
2019,MGI,4185,1285.1,228.4,42.8,6099
2020,MGI,4674.1,1217.2,223.8,10.1,6099
2020,MGI,4674.1,1217.2,223.8,10.1,6099
2021,MGI,4476.5,1283.6,227.8,10,6099
2021,MGI,4476.5,1283.6,218.4,10,6099
2017,GLF,471.955,101.822,0,.981,4412
2017,SO3,4797,1516,0,7,4911
2017,GYRO,38.377,,0,0,6512
2017,GYRO,38.377,,0,0,6512
2018,GYRO,39.377,,0,0,6512
2018,GYRO,39.377,,0,0,6512
2019,GYRO,50.588,,0,0,6512
2019,GYRO,50.588,,0,0,6512
2020,GYRO,40.908,,0,0,6512
2020,GYRO,40.908,,0,0,6512
2021,GYRO,48.284,,0,0,6512
2021,GYRO,48.284,,0,0,6512
2017,HMG,22.157,.317,0,0,6798
2018,HMG,33.437,.322,0,0,6798
2019,HMG,33.012,.5620000000000001,0,0,6798
2020,HMG,20.892,.325,0,0,6798
2017,HAL,25085,20620,0,203,1389
2018,HAL,25982,23995,0,225,1389
2019,HAL,25377,22408,0,229,1389
2020,HAL,20680,14445,0,130,1389
2021,HAL,22321,15295,0,161,1389
2017,JHS,,,0,0,6726
2018,JHS,,,0,0,6726
2019,JHS,,,0,0,6726
2020,JHS,,,0,0,6726
2021,JHS,,,0,0,6726
2017,LHX,10090,5900,0,-17,3812
2018,LHX,9839,6182,0,-52,3812
2019,LHX,10117,6801,0,-51,3812
2020,LHX,36960,18194,0,-54,3812
2021,LHX,34709,17814,0,-364,3812
2017,HSC,1578.685,1607.062,0,16.433,3390
2018,HSC,1632.867,1722.38,0,10.874,3390
2019,HSC,2367.467,1503.742,0,19.097,3390
2020,HSC,2993.287,1863.864,0,5.883,3390
2021,HSC,3053.908,1848.399,0,-2.183,3390
2017,HAS,5289.983,5209.782,0,45.614,3944
2018,HAS,5262.988,4579.646,0,41.87,3944
2019,HAS,8855.628000000001,4720.227,0,157.371,3944
2020,HAS,10818.385,5465.443,0,44.072,3944
2021,HAS,10037.8,6420.4,0,49.3,3944
2017,AMOT,187.922,252.012,0,1.09,3621
2018,AMOT,285.301,310.611,0,1.182,3621
2019,AMOT,305.828,371.084,0,1.362,3621
2020,AMOT,349.197,366.694,0,1.774,3621
2021,AMOT,470.785,403.516,0,1.672,3621
2017,HVT,461.329,820.027,0,4.343,5712
2018,HVT,440.179,817.836,0,5.196,5712
2019,HVT,560.072,802.37,0,5.534,5712
2020,HVT,680.372,748.252,0,4.494,5712
2021,HVT,686.29,1012.799,0,6.516,5712
